"File %1 not found in %2","Fichier %1 introuvable dans %2"
"%1 line(s) found","%1 ligne(s) trouvée(s)"
"Cache cleaned for: %1","Cache nettoyé pour: %1"
"Drop temporary table","Suppression de la table temporaire"
"Clean cache","Nettoyage du cache"
"Create temporary table","Création de la table temporaire"
"Fill temporary table","Import des données dans la table temporaire"
"Update Axis","Mise à jour des axes"
"Update Product Model","Mise à jour des modèles de produit"
"Family Variant","Family Variant"
